,Show Name,Date,Small,Medium,Intermediate,Large,Comments
2,derbyshire agility,27/01/2024,FALSE,FALSE,TRUE,TRUE,TRUE
28,wyre (lancs) agility,17/03/2024,TRUE,TRUE,TRUE,TRUE,FALSE
27,wye valley,06/04/2024,TRUE,TRUE,FALSE,FALSE,TRUE
17,scunthorpe obedience agility,13/04/2024,FALSE,FALSE,TRUE,TRUE,FALSE
15,scottish border collie,14/04/2024,TRUE,TRUE,TRUE,TRUE,TRUE
26,woodside,04/05/2024,TRUE,TRUE,TRUE,TRUE,FALSE
23,vyne,05/05/2024,TRUE,TRUE,TRUE,TRUE,FALSE
16,scottish kennel,19/05/2024,TRUE,TRUE,TRUE,TRUE,FALSE
13,nottingham agility,26/05/2024,TRUE,TRUE,TRUE,TRUE,FALSE
8,hinckley,01/06/2024,TRUE,TRUE,TRUE,TRUE,FALSE
18,thames,08/06/2024,TRUE,TRUE,TRUE,TRUE,FALSE
0,axstane agility,15/06/2024,TRUE,TRUE,FALSE,FALSE,FALSE
11,lune valley,26/06/2024,TRUE,TRUE,TRUE,TRUE,FALSE
5,east lothian,06/07/2024,TRUE,TRUE,TRUE,TRUE,FALSE
19,the agility,07/07/2024,TRUE,TRUE,TRUE,TRUE,FALSE
14,rva,12/07/2024,TRUE,TRUE,TRUE,TRUE,FALSE
24,weardale,20/07/2024,TRUE,TRUE,TRUE,TRUE,FALSE
21,tuffley,28/07/2024,TRUE,TRUE,TRUE,TRUE,FALSE
9,kingdom of fife,03/08/2024,TRUE,TRUE,TRUE,TRUE,FALSE
20,kciaf,10/08/2024,TRUE,TRUE,TRUE,TRUE,FALSE
3,dogs need agility,13/08/2024,TRUE,TRUE,TRUE,TRUE,FALSE
25,welsh kennel,16/08/2024,TRUE,TRUE,TRUE,TRUE,FALSE
4,dundee alsatian,18/08/2024,TRUE,TRUE,TRUE,TRUE,FALSE
6,gillingham (dorset) dts,31/08/2024,FALSE,FALSE,TRUE,TRUE,FALSE
7,gleniffer,01/09/2024,TRUE,TRUE,TRUE,TRUE,FALSE
12,north derbyshire agility,08/09/2024,TRUE,TRUE,TRUE,TRUE,FALSE
10,lisburn district,28/09/2024,TRUE,TRUE,TRUE,TRUE,FALSE
1,castlereagh district,05/10/2024,TRUE,TRUE,TRUE,TRUE,FALSE
22,tunbridge wells district canine,07/12/2024,TRUE,TRUE,TRUE,TRUE,FALSE
