,Show Name,Date,Small,Medium,Intermediate,Large,Comments
2,derbyshire,2024-01-27,False,False,True,True,True
27,wyre,2024-03-17,True,True,True,True,False
17,scunthorpe,2024-04-13,False,False,True,True,False
15,scottish border collie,2024-04-14,True,True,True,True,True
25,woodside,2024-05-04,True,True,True,True,False
22,vyne,2024-05-05,True,True,True,True,False
16,scottish kennel,2024-05-19,True,True,True,True,False
13,nottingham,2024-05-26,True,True,True,True,False
8,hinckley,2024-06-01,True,True,True,True,False
18,thames,2024-06-08,True,True,True,True,False
0,axstane,2024-06-15,True,True,False,False,False
11,lune valley,2024-06-26,True,True,True,True,False
5,east lothian,2024-07-06,True,True,True,True,False
28,agility club,2024-07-07,True,True,True,True,
14,rva,2024-07-12,True,True,True,True,False
23,weardale,2024-07-20,True,True,True,True,False
20,tuffley,2024-07-28,True,True,True,True,False
9,kingdom of fife,2024-08-03,True,True,True,True,False
19,the kennel international festival,2024-08-10,True,True,True,True,False
3,dogs need,2024-08-13,True,True,True,True,False
24,welsh kennel,2024-08-16,True,True,True,True,False
4,dundee alsatian,2024-08-18,True,True,True,True,False
6,gillingham dts,2024-08-31,False,False,True,True,False
7,gleniffer,2024-09-01,True,True,True,True,False
12,north derbyshire,2024-09-08,True,True,True,True,False
10,lisburn,2024-09-28,True,True,True,True,False
26,wye valley,2024-09-29,True,True,False,False,False
1,castlereagh,2024-10-05,True,True,True,True,False
21,tunbridge wells canine,2024-12-07,True,True,True,True,False
